period,month_index,month_of_year,demand_10k_kwh
2020-01,0,1,810.0108630709013
2020-02,1,2,786.5978641269617
2020-03,2,3,877.7749252997226
2020-04,3,4,908.6976106948614
2020-05,4,5,864.3299068649566
2020-06,5,6,858.3436702407787
2020-07,6,7,869.4912295151464
2020-08,7,8,791.4690367873178
2020-09,8,9,760.8115856797075
2020-10,9,10,755.1368245926817
2020-11,10,11,759.9758320769595
2020-12,11,12,800.1429663408184
2021-01,12,1,878.5335376949149
2021-02,13,2,814.9554987981984
2021-03,14,3,923.9633043977997
2021-04,15,4,939.1460214030518
2021-05,16,5,918.0340535425562
2021-06,17,6,
2021-07,18,7,871.3964299635965
2021-08,19,8,853.6209395384423
2021-09,20,9,832.6290350365873
2021-10,21,10,781.9229116195753
2021-11,22,11,827.4215418137916
2021-12,23,12,822.3072845277378
2022-01,24,1,881.7252840505458
2022-02,25,2,835.6522163869192
2022-03,26,3,905.5013273498604
2022-04,27,4,966.6908441006566
2022-05,28,5,964.2912328521505
2022-06,29,6,924.9497927135596
2022-07,30,7,913.6116464839971
2022-08,31,8,885.8351129877823
2022-09,32,9,835.1440711045753
2022-10,33,10,867.5309907856578
2022-11,34,11,
2022-12,35,12,902.1332178760799
2023-01,36,1,906.2214111741105
2023-02,37,2,951.9252206967435
2023-03,38,3,956.3968636353677
2023-04,39,4,979.6665551040741
2023-05,40,5,1028.902983233961
2023-06,41,6,1124.3755861912514
2023-07,42,7,937.5822722241655
2023-08,43,8,888.2197659103043
2023-09,44,9,862.5926472002163
2023-10,45,10,859.8905206773443
2023-11,46,11,894.7465183588936
2023-12,47,12,900.7511634888045
2024-01,48,1,937.3718915596054
2024-02,49,2,938.7636793224344
2024-03,50,3,983.7897223842635
2024-04,51,4,1049.2656844473352
2024-05,52,5,
2024-06,53,6,982.4541560179811
2024-07,54,7,990.5363012795182
2024-08,55,8,954.6015840676348
2024-09,56,9,918.2476024829007
2024-10,57,10,919.5317142661997
2024-11,58,11,911.6528193828999
2024-12,59,12,914.5062527604805
