section,溶解氧,高锰酸盐指数,化学需氧量,氨氮,总磷,浊度
S01,5.675,5.624,26.255,1.29,0.258,6.114
S02,6.852,5.28,25.701,1.252,0.221,6.189
S03,6.378,4.829,20.834,1.107,0.219,5.693
S04,7.179,4.61,22.805,1.08,0.242,6.173
S05,6.567,4.157,21.788,1.201,0.196,5.295
S06,7.32,4.339,19.391,0.93,0.191,4.572
S07,8.736,3.75,19.486,0.95,0.205,4.669
S08,7.923,3.684,18.485,0.828,0.189,4.079
S09,8.059,3.449,15.332,0.754,0.167,3.847
S10,8.414,2.601,16.634,0.702,0.159,3.432
S11,8.563,2.786,13.161,0.713,0.133,3.536
S12,9.189,2.08,13.642,0.574,0.103,3.09
